date,query,output_file,notes
2026-06-01,item response theory,irw_discovered.csv,initial run; 539 candidates (135 from Zenodo)
2026-06-05,executive function,irw_discovered_new.csv,expanded terms batch
2026-06-05,reaction time task,irw_discovered_new.csv,expanded terms batch
2026-06-05,reading fluency,irw_discovered_new.csv,expanded terms batch
2026-06-05,phonological awareness,irw_discovered_new.csv,expanded terms batch
2026-06-05,mathematics achievement,irw_discovered_new.csv,expanded terms batch
2026-06-05,stroop,irw_discovered_new.csv,expanded terms batch
2026-06-05,flanker task,irw_discovered_new.csv,expanded terms batch
2026-06-05,n-back,irw_discovered_new.csv,expanded terms batch
2026-06-08,patient reported outcomes,irw_discovered_pro.csv,
2026-06-09,numeracy,irw_discovered_batch4.csv,user list batch
2026-06-09,phonics,irw_discovered_batch4.csv,user list batch
2026-06-09,lexical decision,irw_discovered_batch4.csv,user list batch
2026-06-09,word recognition,irw_discovered_batch4.csv,user list batch
2026-06-09,depression,irw_discovered_batch4.csv,user list batch
2026-06-09,anxiety,irw_discovered_batch4.csv,user list batch
2026-06-09,stress,irw_discovered_batch4.csv,user list batch
2026-06-09,psychopathy,irw_discovered_batch4.csv,user list batch
2026-06-09,neuroticism,irw_discovered_batch4.csv,user list batch
2026-06-09,pain,irw_discovered_batch4.csv,user list batch
2026-06-09,reading comprehension,irw_discovered_batch4.csv,user list batch
2026-06-09,Big Five personality,irw_discovered_batch4.csv,suggested expansion
2026-06-09,narcissism,irw_discovered_batch4.csv,suggested expansion
2026-06-09,PTSD,irw_discovered_batch4.csv,suggested expansion
2026-06-09,ADHD,irw_discovered_batch4.csv,suggested expansion
2026-06-09,autism spectrum,irw_discovered_batch4.csv,suggested expansion
2026-06-09,substance use,irw_discovered_batch4.csv,suggested expansion
2026-06-09,vocabulary,irw_discovered_batch4.csv,suggested expansion
2026-06-09,spelling,irw_discovered_batch4.csv,suggested expansion
2026-06-09,working memory,irw_discovered_batch4.csv,suggested expansion
2026-06-09,inhibition,irw_discovered_batch4.csv,suggested expansion
2026-06-09,fatigue,irw_discovered_batch4.csv,suggested expansion
2026-06-09,sleep quality,irw_discovered_batch4.csv,suggested expansion
2026-06-09,wellbeing,irw_discovered_batch4.csv,suggested expansion
2026-06-09,self-efficacy,irw_discovered_batch4.csv,suggested expansion
2026-06-09,arithmetic,irw_discovered_batch4.csv,suggested expansion
2026-06-09,numerical cognition,irw_discovered_batch4.csv,suggested expansion
2026-06-09,political belief,irw_discovered_batch5.csv,
2026-06-09,voting behavior,irw_discovered_batch5.csv,
2026-06-09,political attitudes,irw_discovered_batch5.csv,
2026-06-09,consumer sentiment,irw_discovered_batch5.csv,
2026-06-09,cognitive reflection,irw_discovered_batch5.csv,
2026-06-09,stop signal,irw_discovered_batch5.csv,
2026-06-09,theory of mind,irw_discovered_batch5.csv,
2026-06-09,math anxiety,irw_discovered_batch5.csv,
2026-06-09,response style,irw_discovered_batch5.csv,
2026-06-09,emotion regulation,irw_discovered_batch5.csv,
2026-06-09,impulsivity,irw_discovered_batch5.csv,
2026-06-09,empathy,irw_discovered_batch5.csv,
2026-06-09,self-compassion,irw_discovered_batch5.csv,
